Hráefni,Flokkur (prótein / kolvetni / grænmeti‐ávextir),Verð (kr.) / 100 g,Vegan,Orka (kcal) / 100 g,Prótein (g) / 100 g,Kolvetni (g) / 100 g,Fita (g) / 100 g,Trefjar (g) / 100 g,A-vítamín (µg)
Lambafile,Prótein,840.0,Nei,262.0,16.0,0.0,22.0,0.0,15.0
Lambalæri,Prótein,300.0,Nei,200.0,18.5,0.0,14.1,0.0,13.0
Lambalifur,Prótein,60.0,Nei,138.0,22.0,2.0,5.0,0.0,5070.0
Lax,Prótein,470.0,Nei,166.0,23.2,0.0,8.2,0.0,0.0
LGG,Prótein,165.0,Nei,47.0,3.0,7.9,0.1,0.5,0.0
Næringarger,Prótein,350.0,Já,349.0,47.0,19.0,5.0,20.0,0.0
Nautalund,Prótein,480.0,Nei,134.0,20.0,0.0,6.0,0.0,2.5
Nýmjólk,Prótein,21.0,Nei,67.0,3.3,4.7,3.9,0.0,0.0
Nýrnabaunir,Prótein,75.0,Já,108.0,7.6,14.9,0.6,6.5,0.0
Parmesan ostur,Prótein,592.0,Nei,402.0,32.0,0.0,30.0,0.0,207.0
Rauðar nýrnabaunir,Prótein,56.0,Já,127.0,8.7,22.8,0.5,7.4,0.0
Risaeðlunaggar (Ella Stína),Prótein,428.0,Já,288.0,6.1,20.0,20.0,5.0,0.0
Rjómi,Prótein,147.0,Nei,344.0,2.2,2.9,36.0,0.0,345.0
Salatostur,Prótein,245.0,Nei,360.0,15.0,1.9,32.0,0.0,0.0
Sýrður rjómi,Prótein,186.0,Nei,188.0,2.9,3.8,18.0,0.0,0.0
Tófú,Prótein,76.0,Já,76.0,8.0,1.9,4.8,0.3,0.0
Túnfiskur í vatni,Prótein,168.0,Nei,110.0,26.0,0.0,0.5,0.0,0.0
Vegan hakk,Prótein,299.0,Já,270.0,20.0,5.7,18.0,5.3,21.0
Vegan kjúllaborgari (ella stína) ,Prótein,325.0,Já,201.0,26.0,4.3,7.6,4.5,0.0
Vestfiskur hákarl í dós,Prótein,1299.0,Nei,385.0,17.0,0.0,41.0,0.0,4.5
Ýsa (soðin),Prótein,359.0,Nei,99.0,22.9,0.0,0.7,0.0,0.0
Grænt epli,Grænmeti-ávextir,35.2,Já,48.0,0.3,10.9,0.3,1.9,0.0
Chili,Grænmeti-ávextir,511.0,Já,40.0,2.0,9.0,0.4,1.5,850.0
Kjúklingalifur,Prótein,209.0,Nei,116.0,16.9,0.8,4.8,0.0,11000.0
Súrdeigsbrauð,Kolvetni,177.5,Já,240.0,8.0,49.0,1.3,2.4,0.0
Rúgbrauð,Kolvetni,122.0,Já,232.0,7.0,42.0,2.8,5.5,0.0
Rófur,Grænmeti-ávextir,49.6,Já,49.6,1.6,5.4,0.1,3.3,0.0
Svína snitsel ,Prótein,620.0,Nei,251.0,17.0,19.0,14.0,1.2,2.0
Kúskús,Kolvetni,92.25,Já,112.0,3.8,23.0,0.2,1.4,0.0
Snack !T kabanos loaded cheddar,Prótein,525.0,Nei,449.0,18.0,11.0,37.0,0.0,0.0
Steikingarolía (sólblóma/repjuolía),Grænmeti-ávextir,50.0,Já,900.0,0.0,0.0,100.0,0.0,0.0
Brikk bananabrauð,Kolvetni,187.0,Nei,242.0,4.9,40.1,6.4,1.3,0.0
